,Length,Diameter,Height,Weight,Shucked Weight,Viscera Weight,Shell Weight,Age,Sex_F,Sex_I,Sex_M
34,1.55,1.225,0.475,34.529691,15.46465225,8.40562675,10.0640725,13,False,False,True
35,1.4,1.0375,0.325,21.58814425,10.47514025,4.819415,5.54232725,8,False,False,True
36,1.1125,0.8625,0.2625,11.5949455,4.74854125,2.87747425,3.3168915,7,False,True,False
37,1.0125,0.775,0.3,8.77417025,3.912231,1.644271,2.6932025,13,True,False,False
38,0.75,0.575,0.2,3.61456125,1.23320325,0.75126175,1.13398,8,False,True,False
39,1.05,0.825,0.25,9.979024,4.63514325,2.5231055,2.83495,9,False,True,False
40,1.4375,1.125,0.3375,22.8780465,10.24834425,4.989512,7.200773,10,False,True,False
41,0.8,0.5125,0.2,5.1312595,2.494756,0.963883,1.40330025,5,False,True,False
42,1.7,1.4,0.4875,50.39123625,24.4089195,9.128539,11.7650425,11,True,False,False
43,1.5125,1.1875,0.4375,34.0477495,15.29455525,7.7961125,8.7599955,10,False,False,True
44,1.0375,0.775,0.2375,8.8166945,3.18931875,1.77184375,3.2601925,8,False,True,False
45,1.725,1.35,0.4625,44.55123925,19.66037825,9.015141,13.324265,15,True,False,False
46,1.25,1.025,0.375,18.767369,7.98038425,3.8838815,6.23689,11,False,False,True
47,1.725,1.45,0.4875,47.003471,20.071446,10.24834425,13.36678925,10,True,False,False
48,1.375,1.175,0.375,25.4295015,10.6877615,5.216308,8.221355,9,True,False,False
49,1.525,1.175,0.3875,29.27085875,14.0897015,6.16601625,7.89533575,9,False,False,True
50,1.1375,0.875,0.275,12.984071,5.6699,3.1467945,3.69960975,8,False,False,True
51,1.8,1.3625,0.4875,49.54075125,23.28911425,10.8578585,13.33843975,11,False,False,True
52,1.375,1.1,0.4125,24.39474475,8.845044,4.7910655,8.50485,17,False,True,False
53,1.3125,1.025,0.3375,20.08562075,8.3064035,4.32329875,6.6621325,11,True,False,False
54,1.175,0.8875,0.2875,11.77921725,4.7343665,2.381358,3.9405805,7,False,True,False
55,1.775,1.4125,0.4875,48.94541175,18.086981,9.53960675,16.0174675,17,True,False,False
56,1.4375,1.1625,0.35,27.158821,12.530479,5.14543425,7.66853975,9,True,False,False
57,0.6875,0.5,0.1375,2.62232875,1.077281,0.5953395,0.737087,4,False,True,False
58,1.325,0.95,0.3125,17.463292,8.278054,3.2034935,5.2446575,8,False,True,False
59,1.2625,0.9375,0.45,16.102516,6.59125875,4.23825025,4.819415,12,True,False,False
60,1.0625,0.95,0.2625,9.25611175,3.64291075,2.22543575,2.83495,10,False,True,False
61,1.075,0.825,0.25,12.7289255,7.200773,2.33883375,2.7499015,6,False,True,False
62,0.825,0.65,0.2,5.386405,2.16873675,1.09145575,1.8427175,7,False,True,False
63,1.6375,1.2875,0.3625,35.436875,14.92601175,8.0229085,8.9300925,15,False,True,False
64,1.6125,1.25,0.5,40.49726075,18.1153305,8.6465975,10.20582,11,True,False,False
65,1.3125,1.0375,0.4,18.27125275,7.37087,4.46504625,6.23689,12,False,False,True
66,1.6875,1.3,0.3625,38.68289275,15.7906715,9.65300475,10.9145575,11,False,False,True
67,1.275,1.1375,0.3375,19.43358225,8.15048125,4.365823,5.76912325,9,False,True,False
68,1.4625,1.1375,0.375,27.9809565,12.34620725,5.88252125,8.788345,11,False,False,True
69,0.925,0.7,0.25,7.144074,3.01922175,1.68679525,2.097863,8,False,False,True
70,0.7,0.5125,0.25,3.30271675,1.54504775,0.80796075,0.850485,5,False,False,True
71,1.325,1.05,0.425,23.473386,11.623295,5.896696,4.26659975,6,True,False,False
72,0.875,0.6375,0.2125,6.08096775,2.83495,1.31825175,1.70097,13,False,False,True
73,1.525,1.1875,0.3875,33.112216,15.705623,6.7755305,9.34116025,10,False,False,True
74,1.125,0.8375,0.3125,12.68640125,6.13766675,3.572037,3.118445,6,False,False,True
75,1.4625,1.175,0.425,27.9242575,10.47514025,6.78970525,8.9300925,10,False,True,False
76,1.35,1.075,0.35,23.23241525,11.15552825,4.89028875,6.50621025,9,False,True,False
77,1.35,1.0875,0.4375,25.287754,9.128539,4.932813,9.4970825,13,True,False,False
78,1.325,1.0,0.3625,15.7339725,5.48562825,3.69960975,5.5281525,9,False,True,False
79,1.9375,1.425,0.55,57.606184,20.8368825,13.48018725,18.66814575,17,False,False,True
80,1.3125,1.0,0.2875,17.84601025,7.24329725,4.082328,5.10291,11,True,False,False
81,1.55,1.25,0.4375,32.488527,13.5227115,6.520385,11.056305,13,True,False,False
82,1.575,1.2875,0.4,28.803092,11.94931425,6.917278,10.0640725,19,False,False,True
83,1.25,1.0,0.3125,16.93882625,7.654365,3.61456125,4.706017,9,False,False,True
84,1.85,1.45,0.5125,67.5001595,23.11901725,13.31009025,13.834556,12,False,False,True
85,1.05,0.8125,0.25,10.432616,4.74854125,1.77184375,3.21766825,11,False,True,False
86,1.4,1.05,0.45,47.18774275,21.98503725,9.922325,12.82814875,9,True,False,False
87,1.3,0.95,0.35,14.8834875,5.03203625,3.2601925,5.2446575,11,False,True,False
88,1.575,1.2,0.4125,36.457457,17.123098,7.6827145,9.922325,8,False,False,True
89,1.5,1.2375,0.4875,29.97959625,10.886208,5.386405,10.6310625,26,False,False,True
90,1.2,0.9375,0.3625,22.0275615,6.123492,3.685435,4.819415,9,False,False,True
91,1.5,1.275,0.4625,36.4291075,17.27902025,7.78193775,8.9300925,9,False,False,True
92,1.6,1.25,0.375,34.06192425,15.8473705,6.5487345,9.51125725,9,True,False,False
93,1.0125,0.775,0.1625,9.08601475,4.46504625,1.871067,2.494756,6,False,True,False
94,1.425,1.1,0.3125,24.5223175,10.41844125,4.89028875,7.654365,12,True,False,False
95,1.325,1.0125,0.375,25.2027055,11.49572225,6.44951125,6.0951425,8,True,False,False
96,0.7375,0.5375,0.1875,3.288542,1.0489315,0.83631025,1.13398,8,False,True,False
97,1.375,1.0625,0.3875,24.73493875,11.679994,5.3013565,6.87475375,10,False,True,False
98,1.7375,1.325,0.525,42.807745,18.824068,11.60912025,10.9145575,10,False,False,True
99,1.35,1.0625,0.35,21.035329,9.07184,3.95475525,7.087375,9,False,True,False
100,1.375,1.075,0.3125,26.1665885,11.43902325,4.9611625,8.0229085,8,True,False,False
101,1.5625,1.2375,0.4,31.51046925,12.74310025,8.00873375,9.7805775,11,True,False,False
102,1.5375,1.15,0.475,30.220567,12.28950825,6.406987,9.355335,13,False,True,False
103,1.475,1.1625,0.3375,28.05183025,12.00601325,5.6415505,7.93786,8,False,False,True
104,1.3125,1.0,0.325,23.51591025,6.81805475,5.17378375,7.7961125,11,False,False,True
105,1.225,0.9625,0.3,16.7545545,7.6827145,3.18931875,5.03203625,9,False,True,False
106,1.0625,0.8,0.25,8.66077225,3.572037,1.70097,3.005047,7,False,True,False
107,0.8875,0.7,0.275,6.33611325,2.31048425,1.48834875,2.26796,7,False,True,False
108,1.175,0.9375,0.325,14.8267885,6.066793,3.742134,4.1106775,8,False,False,True
109,1.4875,1.1625,0.375,27.78251,11.66581925,5.556502,6.39281225,10,True,False,False
110,1.55,1.2,0.4,30.51823675,11.679994,7.1724235,8.50485,13,False,False,True
111,1.4875,1.15,0.4,26.1098895,11.35397475,5.74077375,8.15048125,9,True,False,False
112,0.9875,0.725,0.2375,8.618248,3.6003865,2.381358,2.1829115,6,False,True,False
113,1.575,1.225,0.475,33.38153625,13.99047825,9.53960675,8.0796075,11,False,False,True
114,1.4375,1.1125,0.3625,24.834162,10.75863525,4.57844425,7.654365,10,False,False,True
115,0.675,0.4875,0.2,2.83495,1.09145575,0.55281525,0.850485,6,False,False,True
116,1.25,0.9625,0.2625,14.118051,5.08873525,3.10427025,4.819415,17,True,False,False
117,1.475,1.125,0.4,25.3161035,7.78193775,6.19436575,9.7805775,14,False,True,False
118,1.65,1.3375,0.475,45.08987975,18.21455375,8.4198015,14.67086625,9,False,False,True
119,0.975,0.75,0.225,7.144074,3.01922175,1.5025235,2.26796,7,False,True,False
120,1.2125,1.0375,0.35,16.17338975,7.087375,3.798833,5.2446575,8,False,True,False
121,1.4875,1.225,0.4625,33.5941575,13.664459,5.71242425,10.2341695,10,False,False,True
122,0.6875,0.5125,0.175,2.664853,0.94970825,0.56699,0.92135875,5,False,False,True
123,1.175,0.9,0.325,14.81261375,5.613201,3.01922175,4.6776675,9,False,True,False
124,1.2625,0.9625,0.3125,16.896302,6.9456275,2.7499015,5.953395,9,False,True,False
125,1.725,1.325,0.425,44.04094825,22.52367775,9.87980075,10.47514025,9,True,False,False
126,1.0625,0.7875,0.2,8.5898985,3.7137845,1.65844575,2.6932025,7,False,True,False
127,1.3875,1.15,0.3625,25.52872475,10.90038275,4.479221,7.83863675,11,False,True,False
128,1.5125,1.2,0.375,30.5891105,12.77144975,8.03708325,8.3064035,10,True,False,False
129,0.775,0.5875,0.225,3.6003865,1.360776,0.8788345,1.13398,6,False,True,False
130,1.125,0.8375,0.35,13.11164375,4.649318,2.154562,4.252425,14,False,False,True
131,1.325,1.05,0.3875,22.963095,13.39513875,3.1467945,5.443104,10,False,True,False
132,0.825,0.6625,0.225,5.10291,1.927766,1.020582,1.70097,6,False,True,False
133,1.25,0.9625,0.3875,21.602319,10.75863525,4.5642695,5.386405,14,False,True,False
134,0.9625,0.6625,0.2,7.1157245,3.515338,1.0489315,1.984465,6,False,True,False
135,1.525,1.2,0.475,36.72677725,14.78426425,9.14271375,10.3475675,12,True,False,False
136,1.3625,1.05,0.3625,22.055911,10.61688775,4.37999775,5.8116475,7,False,False,True
137,1.575,1.2125,0.4375,36.85435,12.28950825,8.34892775,13.04077,23,False,False,True
138,0.8375,0.625,0.2,5.1879585,2.08368825,1.13398,1.63009625,6,False,True,False
139,1.425,1.0375,0.325,24.94756,12.11941125,5.54232725,6.747181,13,False,False,True
140,1.525,1.2,0.4125,35.25260325,15.80484625,7.58349125,10.546014,8,False,False,True
141,1.35,1.1,0.4,30.91512975,11.0846545,6.50621025,10.0640725,15,True,False,False
142,1.575,1.1625,0.375,29.1149365,15.2236815,5.329706,4.989512,8,False,False,True
143,1.1125,0.825,0.275,10.149121,4.32329875,1.8994165,3.35941575,8,False,True,False
144,1.55,1.125,0.5,24.323871,12.14776075,4.32329875,6.81805475,8,False,False,True
145,1.7875,1.4125,0.45,50.745605,23.926978,10.02154825,15.26620575,9,True,False,False
146,1.075,0.8125,0.225,12.0485375,6.1518415,2.4664065,2.6932025,7,False,True,False
147,1.625,1.2125,0.4,49.31395525,16.20173925,7.89533575,8.71747125,10,False,False,True
148,1.3625,1.0875,0.3375,21.87163925,10.546014,4.195726,6.4353365,8,False,True,False
149,1.6,1.25,0.4375,36.0889135,14.35902175,8.29222875,11.4815475,13,False,False,True
150,1.6,1.2625,0.45,36.7693015,16.726205,8.85921875,10.2908685,11,False,False,True
151,1.525,1.1875,0.425,29.44095575,12.57300325,6.8322295,9.07184,14,False,True,False
152,1.6125,1.3,0.475,37.15201975,16.44271,8.164656,10.489315,12,True,False,False
153,1.525,1.2125,0.425,36.3157095,16.9246515,8.60407325,9.355335,9,False,False,True
154,1.1,0.85,0.25,12.7856245,5.329706,2.4664065,3.685435,10,True,False,False
155,1.0,0.75,0.2875,8.57572375,3.78465825,1.31825175,2.65067825,8,True,False,False
156,1.425,1.2375,0.4,30.94347925,12.813974,7.7961125,8.9300925,14,True,False,False
157,1.6625,1.25,0.4375,36.78347625,17.22232125,8.901743,8.9300925,9,False,False,True
158,1.7375,1.425,0.5,57.6345335,21.2904745,12.06271225,19.4194075,15,False,False,True
159,1.6125,1.2,0.375,33.792604,17.16562225,7.35669525,8.0796075,9,False,False,True
160,1.475,1.2,0.4,35.777069,16.11669075,7.72523875,9.4970825,9,False,False,True
161,1.7125,1.325,0.425,44.22522,18.3421265,10.8578585,13.1825175,11,False,False,True
162,1.6625,1.25,0.375,35.36600125,13.11164375,8.37727725,10.19164525,10,True,False,False
163,1.2875,1.05,0.3375,17.84601025,7.98038425,3.6003865,6.0951425,9,True,False,False
164,1.65,1.2625,0.4625,43.318036,19.561155,8.57572375,12.5021295,11,True,False,False
165,1.1625,0.9375,0.275,14.17475,5.953395,3.2034935,4.26659975,8,False,False,True
166,1.25,0.9625,0.375,17.76096175,7.38504475,4.72019175,4.53592,10,False,True,False
167,1.425,1.1125,0.3875,28.8314415,14.92601175,5.74077375,7.5126175,10,True,False,False
168,1.125,0.8375,0.2375,9.93649975,4.57844425,1.77184375,3.35941575,7,False,True,False
169,0.95,0.7,0.2375,8.17883075,4.6776675,1.23320325,1.8994165,7,False,True,False
170,1.575,1.2,0.4625,34.302895,15.025235,7.24329725,9.128539,11,False,False,True
171,1.3875,1.1375,0.425,23.91280325,8.7599955,5.40057975,8.50485,15,False,True,False
172,1.4375,1.1,0.4625,29.0582375,14.38737125,6.36446275,7.04485075,10,False,False,True
173,0.4625,0.3375,0.1,0.7654365,0.29766975,0.15592225,0.2551455,5,False,True,False
174,1.1875,0.9375,0.3,15.9607685,7.15824875,3.41611475,5.2446575,10,False,False,True
175,1.675,1.3,0.4875,51.21337175,21.488921,10.58853825,14.33067225,11,True,False,False
176,1.1,0.875,0.3125,12.927372,5.953395,2.70737725,3.7137845,8,False,True,False
177,1.15,0.8875,0.275,12.360382,5.59902625,2.721552,3.5436875,8,False,True,False
178,1.6875,1.325,0.4375,41.00755175,19.20678625,9.355335,11.0279555,10,True,False,False
179,1.5,1.175,0.475,32.16250775,13.947954,7.35669525,9.56795625,10,True,False,False
180,1.75,1.4375,0.5,49.22890675,21.98503725,11.24057675,13.0691195,11,True,False,False
181,1.3375,1.05,0.3125,20.921931,10.0640725,5.37223025,5.08873525,8,False,False,True
182,1.025,0.7875,0.2375,8.674947,3.4302895,2.08368825,2.551455,9,False,False,True
183,0.725,0.525,0.1625,2.7499015,1.06310625,0.623689,0.850485,6,False,True,False
184,1.3125,1.05,0.3875,23.870279,12.133586,4.01145425,5.79747275,9,False,False,True
185,1.4875,1.075,0.525,43.21881275,18.5122235,11.226402,11.623295,11,True,False,False
186,1.125,0.8375,0.275,11.89261525,5.1312595,2.4097075,3.81300775,7,False,True,False
187,0.9,0.6875,0.2125,5.59902625,2.11203775,1.17650425,1.984465,9,False,True,False
188,1.4125,1.1375,0.375,27.76833525,12.587178,5.8116475,7.7961125,8,False,False,True
189,1.125,0.8875,0.2625,12.60135275,5.5848515,2.6365035,3.78465825,8,False,True,False
190,1.25,0.9375,0.3625,16.42853525,6.7755305,3.89805625,5.2446575,9,False,True,False
191,1.7375,1.4125,0.475,49.99434325,21.16290175,11.3114505,14.10387625,11,True,False,False
192,1.425,1.1125,0.4,28.76056775,14.628342,4.649318,8.50485,10,False,False,True
193,1.65,1.2625,0.5,46.22385975,13.79203175,8.4198015,17.293195,18,False,False,True
194,1.6,1.4625,0.4875,46.6916265,20.48251375,9.3836845,13.3526145,12,False,False,True
195,1.0875,0.8125,0.25,10.375917,4.932813,2.05533875,3.0900955,7,False,True,False
196,1.45,1.175,0.4125,26.2799865,9.11436425,5.62737575,8.9300925,11,False,False,True
197,1.5125,1.2125,0.4,34.0477495,11.8217415,8.15048125,10.77281,9,True,False,False
198,1.625,1.3625,0.575,49.668324,15.88989475,8.20718025,23.1048425,16,True,False,False
199,1.575,1.25,0.4375,35.84794275,15.97494325,8.68912175,9.70970375,10,False,False,True
200,1.175,0.8875,0.45,12.5021295,4.32329875,3.30271675,3.8271825,8,True,False,False
201,1.55,1.1875,0.4,37.54891275,19.46193175,6.6054335,9.28446125,9,True,False,False
202,1.25,0.9625,0.275,16.896302,8.54737425,2.948348,4.2807745,8,False,True,False
203,0.775,0.5625,0.1875,4.3941725,1.8427175,1.0489315,1.03475675,6,False,True,False
204,1.5,1.15,0.3875,27.59823825,12.1052365,5.79747275,8.50485,8,True,False,False
205,1.0375,0.8125,0.25,9.11436425,4.35164825,1.68679525,2.9766975,10,False,True,False
206,1.6375,1.475,0.5,43.81415225,18.540573,10.67358675,11.7650425,11,False,False,True
207,1.0,0.75,0.275,8.46232575,3.89805625,2.0128145,2.1262125,6,False,True,False
208,1.225,0.925,0.275,15.252031,7.6827145,2.93417325,3.9405805,8,False,True,False
209,1.1875,0.9625,0.3625,17.50581625,6.6621325,3.061746,6.0951425,14,False,False,True
210,1.3875,1.0625,0.35,22.339406,7.994559,4.52174525,8.0796075,11,True,False,False
211,1.5875,1.25,0.375,39.008912,18.41300025,10.2341695,8.788345,10,True,False,False
212,1.0375,0.8375,0.25,10.149121,4.7910655,1.8994165,2.9766975,7,False,True,False
213,1.45,1.1375,0.3875,23.71435675,8.9300925,3.92640575,9.07184,18,True,False,False
214,1.225,0.9,0.275,14.18892475,4.5642695,3.0333965,5.5281525,17,True,False,False
215,1.4,1.1125,0.3875,34.699788,15.77649675,9.14271375,7.64019025,10,True,False,False
216,1.5125,1.225,0.375,32.16250775,14.92601175,7.49844275,8.3631025,9,True,False,False
217,1.2375,1.0,0.3,18.72484475,7.38504475,4.5642695,5.386405,15,False,False,True
218,1.45,1.175,0.375,25.7129965,12.587178,5.25883225,6.93145275,11,False,True,False
219,1.45,1.25,0.4125,26.2232875,10.489315,5.2446575,8.51902475,10,True,False,False
220,1.025,0.8125,0.25,11.169703,5.896696,1.85689225,3.005047,6,False,True,False
221,1.025,0.7625,0.2375,7.44174375,2.83495,1.45999925,2.551455,6,False,True,False
222,1.2,0.9,0.3125,15.365429,7.92368525,2.90582375,4.1673765,7,False,True,False
223,1.0875,0.8375,0.25,9.19941275,3.8271825,2.22543575,2.778251,7,False,True,False
224,1.1,0.8875,0.4125,12.3320325,4.5075705,2.9766975,3.96893,16,False,True,False
225,1.6,1.2625,0.4125,40.92250325,17.42076775,8.60407325,11.056305,18,False,False,True
226,1.425,1.0875,0.325,21.36134825,9.8939755,4.97533725,5.499803,10,False,False,True
227,1.75,1.45,0.5125,60.384435,21.02115425,13.891255,16.44271,20,False,False,True
228,1.2375,0.95,0.3,13.437663,5.5848515,3.01922175,4.37999775,10,False,False,True
229,1.8375,1.5,0.55,72.4329725,32.13415825,12.47378,17.0097,11,True,False,False
230,1.6875,1.3375,0.4,39.972795,16.782904,9.00096625,11.90679,16,True,False,False
231,1.6,1.4125,0.575,43.1195895,18.257078,10.546014,11.509897,15,False,False,True
232,1.45,1.1375,0.375,28.689694,14.13222575,5.99591925,8.03708325,10,False,False,True
233,1.6375,1.275,0.3875,36.55668025,15.15280775,8.09378225,11.623295,11,True,False,False
234,0.825,0.625,0.1875,3.98310475,1.587572,0.9922325,1.417475,5,False,True,False
235,1.1,0.8625,0.2875,15.4504775,7.6260155,3.1467945,3.69960975,6,False,True,False
236,1.575,1.2375,0.45,37.137845,14.0330025,8.3631025,13.31009025,10,False,False,True
237,0.95,0.675,0.2375,6.2085405,2.36718325,1.45999925,1.984465,6,False,False,True
238,1.1125,0.8625,0.35,13.494362,5.82582225,2.87747425,3.07592075,15,False,False,True
239,0.675,0.475,0.2,2.2963095,0.75126175,0.55281525,0.850485,6,False,True,False
240,1.65,1.2125,0.3875,34.79901125,17.293195,7.767763,8.50485,8,False,False,True
241,1.8,1.4375,0.45,47.35783975,20.751834,10.21999475,14.2030995,12,True,False,False
242,1.7375,1.375,0.5125,61.6034635,32.1199835,13.22504175,14.061352,10,False,False,True
243,1.0375,0.8125,0.2625,10.77281,4.52174525,2.22543575,3.40194,12,True,False,False
244,1.5625,1.3,0.45,38.385223,13.73533275,9.9506745,10.6310625,11,True,False,False
245,0.6875,0.5,0.1875,2.438057,0.86465975,0.5386405,0.850485,7,False,True,False
246,1.2625,0.9625,0.375,18.18620425,6.973977,4.309124,6.0951425,12,False,False,True
247,1.575,1.2625,0.4375,34.6147395,15.7339725,7.144074,9.63883,12,False,False,True
248,1.0375,0.8125,0.275,8.958442,3.92640575,2.25378525,2.62232875,8,False,True,False
249,1.1875,1.05,0.4,20.11397025,9.922325,4.26659975,5.23048275,8,False,True,False
250,0.7625,0.575,0.2,4.422522,1.91359125,0.97805775,1.360776,7,True,False,False
251,1.2875,0.9625,0.275,16.40018575,7.1724235,4.53592,3.96893,8,False,False,True
252,1.825,1.4375,0.525,58.6551155,26.32251075,11.5949455,18.2287285,11,False,False,True
253,1.125,0.875,0.3125,13.53688625,6.33611325,2.5231055,3.345241,6,False,True,False
254,0.8625,0.6875,0.2375,5.65572525,2.14038725,1.51669825,1.984465,6,False,True,False
255,0.7,0.5125,0.1375,3.21766825,1.2757275,0.77961125,0.94970825,7,False,True,False
256,1.325,1.05,0.3375,19.1926115,7.27164675,4.01145425,5.953395,9,True,False,False
257,1.5375,1.175,0.3625,29.15746075,12.57300325,8.00873375,8.0796075,11,False,False,True
258,1.0875,0.825,0.275,11.7083435,5.82582225,2.721552,2.721552,6,False,True,False
259,1.5625,1.25,0.4625,35.22425375,16.99552525,7.030676,9.4970825,10,False,False,True
260,1.15,0.875,0.275,11.18387775,4.77689075,2.45223175,3.5436875,9,False,True,False
261,1.6375,1.325,0.4375,35.81959325,13.777857,7.47009325,11.7650425,15,False,False,True
262,1.2875,0.975,0.275,15.0535845,6.84640425,2.778251,4.57844425,8,False,True,False
263,1.0875,0.8125,0.2625,9.4970825,3.855532,1.8427175,3.2601925,8,False,True,False
264,1.65,1.3,0.475,44.168521,21.4038725,8.448151,11.3398,10,False,False,True
265,1.1875,0.9125,0.2875,14.1464005,6.577084,2.50893075,4.422522,10,False,True,False
266,0.925,0.675,0.225,5.25883225,1.984465,1.20485375,1.8427175,7,False,True,False
267,1.45,1.1375,0.325,24.153774,11.623295,4.89028875,6.3786375,8,False,False,True
268,1.3625,1.1125,0.375,22.6796,10.02154825,4.6209685,5.8683465,9,True,False,False
270,1.475,1.15,0.3625,28.08017975,12.8423235,6.25106475,7.7961125,8,True,False,False
271,1.4875,1.2,0.35,25.86891875,11.60912025,5.17378375,8.1930055,9,False,False,True
272,0.8875,0.6625,0.225,4.762716,1.417475,1.1623295,1.7860185,8,False,False,True
273,1.1875,0.9125,0.2875,13.891255,6.3219385,3.50116325,3.78465825,9,False,True,False
274,1.4875,1.15,0.3875,29.63940225,12.94154675,6.80388,8.74582075,10,True,False,False
275,0.925,0.7,0.2125,5.613201,2.28213475,1.28990225,1.644271,5,False,True,False
276,1.425,1.125,0.3375,22.12678475,9.48290775,5.2446575,5.953395,8,True,False,False
277,1.525,1.225,0.425,32.2333815,13.05494475,8.00873375,9.752228,12,True,False,False
278,1.7375,1.45,0.5,53.84987525,19.1359125,13.551061,15.01106025,13,False,False,True
279,1.725,1.2875,0.45,52.29065275,27.82503425,13.19669225,9.6671795,13,False,False,True
280,1.1875,0.9125,0.325,13.62193475,5.40057975,3.231843,4.18155125,12,True,False,False
281,1.6375,1.3375,0.5125,46.62075275,20.70930975,10.19164525,13.04077,13,False,False,True
282,1.525,1.2125,0.45,36.27318525,16.25843825,8.09378225,10.0640725,7,True,False,False
283,1.3875,1.125,0.4375,24.777463,9.28446125,5.726599,8.6465975,10,False,False,True
284,1.525,1.1875,0.4375,29.029888,11.5949455,7.3992195,9.128539,9,False,False,True
285,1.0625,0.8625,0.3125,12.0485375,4.53592,2.25378525,4.365823,13,False,True,False
286,1.075,0.8125,0.275,10.41844125,3.84135725,2.65067825,3.40194,13,False,True,False
287,1.775,1.25,0.375,37.32211675,19.37688325,7.98038425,7.93786,10,True,False,False
288,1.125,0.825,0.25,11.6516445,5.51397775,2.83495,2.778251,6,False,True,False
289,1.1875,0.9875,0.3375,16.782904,6.98815175,4.66349275,5.6699,13,False,False,True
290,1.4375,1.1375,0.4,28.05183025,14.0330025,5.5281525,6.973977,9,False,True,False
291,0.825,0.6625,0.2125,5.556502,2.19708625,0.86465975,1.26155275,6,False,True,False
292,0.6875,0.5125,0.2,2.721552,1.020582,0.52446575,0.850485,6,False,True,False
293,1.45,1.1,0.3625,22.41027975,9.99319875,4.66349275,6.860579,10,False,True,False
294,0.9625,0.725,0.225,6.70465675,2.83495,1.43164975,2.154562,8,False,True,False
295,1.5375,1.2,0.475,38.55532,15.03940975,6.73300625,13.324265,18,False,False,True
296,1.475,1.125,0.3,21.21960075,9.48290775,3.72795925,6.23689,14,False,False,True
297,1.0,0.8125,0.3,9.02931575,3.798833,1.60174675,2.6932025,8,True,False,False
298,1.175,0.8875,0.45,13.60776,5.82582225,2.9766975,4.26659975,8,False,True,False
299,1.7625,1.4,0.425,41.31939625,17.2081465,9.015141,12.47378,11,True,False,False
300,1.225,0.9625,0.3125,17.2648455,8.68912175,2.721552,5.03203625,8,False,False,True
